Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,11,11,924,10.3,0.1,1.26,0.39,30.8,0.08,0.25,19,0,0,0,24.3,32.7,74.2,356,103.8,14.2,17.3,82,6.8,8.64,78.7,1.94,3.98,48.8,0.1,2.23,1.55,0.68,0.19,1.84,32.7,29.3,3.4,0.68,0.1,6.02,0.58,1.17,1.75,0.87,0.78,0,23.8,3.79,5.15,3.5,27,0.87,0.39,0.49,24.3,0,0.49,1.36,1.36,3.3,2.14,0.58,0.19,0.1,0.1,0.19,0.29,0.1,0,0,0.1,0,0.1,2.04,1.36,0.58,0.97,0.49,0.78,2.33,33.3,1.55,21,6.7,31.9,3.98,9.03,7.96,1.46,0.1,0,1.36,0.1,2.14,0.19,0,46.9,0.49,5.34,22.5,22,3.01,43.8,1.75,3.11,56.3,1.94,0.49,34.3,165.8,91.1,4.37,1.26,0.29,1.94,3.88,45.9,32.2,70.2,6.7,0.19,0,0,0.68,2.72,0.29,1.17,1.36,0,0,0,6.99,0.49,3.11,13.5
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,12,12,1080,12,0,0.83,0,0,0,0,12.7,0,0,0,28.3,35.3,80.4,595.3,229.9,7.83,9.08,86.2,16.6,18.4,90,3.58,6.75,53.1,0,0.25,2.5,0.17,0,3.25,35.3,31.9,3.33,2.33,0,3.5,1.08,0.25,0,0,0,0,25.2,3,7.08,22.3,9.67,1.83,0.33,0.17,28.3,0.08,1,0.67,0.75,0.82,0.42,0,0,0.08,0,0.25,0,0,0,0,0,0,0,2.08,1.25,0.92,1,0.17,0.83,1.42,58.8,0.58,12.7,4.92,38.8,6.17,5.92,0.58,1.75,0.5,0,1.25,2.5,4.58,2.58,0,45.5,6.5,23.8,22.2,2.33,1.08,42.3,0.33,0.67,50,0.42,0,26.1,154.3,87.1,2.33,0.25,0,0.25,1,25.8,25.1,97.4,0.08,0.08,0,0,1.42,0.5,0.08,0.25,1.25,0,0,0,7.83,2,0.67,75
3,Himad Abdelli,FRA,MFFW,Angers,Ligue 1,22,1999,5,1,142,1.6,0,1.25,0.63,50,0,0,15.7,0,0,0,47.5,54.4,87.4,856.3,193.8,20,21.9,91.4,20.6,21.9,94.3,6.88,10,68.8,0,5,3.75,1.88,0,6.25,54.4,54.4,0,0,0.63,10,1.88,0,0,0,0,0,49.4,1.88,3.13,10,43.1,0.63,0,0,47.5,0,0.63,1.25,0.63,5,4.38,0,0,0.63,0,0,0,0,0,0,0,0,0,2.5,1.88,0.63,1.88,0,0.63,0.63,100,0,12.5,2.5,20,0.63,10,1.88,0,0,0,0,0.63,3.13,0,0,65.6,0.63,11.3,41.9,23.8,1.88,65.6,1.25,3.13,40,1.25,0,55,384.4,223.8,12.5,5,0.63,0.63,1.88,56.9,51.9,91.2,6.25,0,0,0,1.25,2.5,0,0,1.88,0,0,0,10,0.63,3.13,16.7
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,12,12,1079,12,0.08,0.5,0.08,16.7,0.17,1,22,0,0,0,55,60,91.7,955.3,178.2,25.4,27.3,93,23.5,24.9,94.3,5.17,6.5,79.5,0,0.42,3.83,0.67,0.08,3,60,58.3,1.67,1.67,0.08,6.58,1.17,0.42,0,0,0,0,51.5,4.08,4.42,5.83,51,2.33,0,0.33,55,0.33,0.42,0.75,0.42,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0.92,0.58,0.92,0.17,0.58,1.33,43.8,0.75,18.7,4.75,25.4,6.25,9.58,2.83,1.33,0.33,0,1,2.25,3.92,1.08,0,69.3,2.17,14,48.2,10.7,0.75,68.1,0.83,1.08,76.9,0.83,0.08,49.6,224.2,94,3.17,0.75,0.08,0.92,1.33,55.4,52.9,95.5,1.58,0.08,0,0,2.75,1.5,0,0.42,0.92,0,0,0,8,0.58,0.75,43.8
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,10,10,807,9,0,0.44,0,0,0,0,22.6,0,0,0,38.9,43,90.4,675.2,215.7,18.3,18.9,97.1,15.7,17,92.2,4.11,5.44,75.5,0.11,0.67,3.67,0.22,0,2.78,43,42.3,0.67,0.67,0.33,8.11,0.56,0.11,0,0,0,0,35.8,3.89,3.33,2.78,39.1,0.78,0,0,38.9,0.11,0.44,0.44,0.56,1.33,1,0,0.11,0.11,0,0.11,0.11,0.11,0,0,0,0,0,3.56,2.33,2.78,0.78,0,1,3.56,28.1,2.56,16.8,4.78,28.5,9.78,6.22,0.78,1.33,0.22,0,1.11,1.44,5,1.78,0,53.7,4,21,29.4,5.11,0.11,53,0.44,0.78,57.1,0.56,0,37,115.3,55.6,1.78,0.56,0.11,0.89,0.89,38.9,37.2,95.7,0.44,0.22,0,0,1.33,1.22,0,0.11,2.33,0,0,0,6.67,0.56,0.44,55.6
6,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,9,0,101,1.1,0.91,5.45,1.82,33.3,0.17,0.5,10.9,0,0,0,5.45,12.7,42.9,78.2,26.4,4.55,5.45,83.3,0.91,2.73,33.3,0,0,0,0,1.82,0,0.91,0.91,0,12.7,12.7,0,0,0,4.55,0,3.64,0,0,0,0,10,1.82,0.91,3.64,8.18,0,0,0,5.45,0,0,0,2.73,6.36,1.82,0,0,2.73,0.91,0.91,1.82,0,0,0,0,0.91,0.91,1.82,0.91,0,0,1.82,0.91,1.82,50,0.91,21.8,8.18,37.5,0.91,10.9,10,0.91,0,0,0.91,1.82,3.64,0.91,0,39.1,0.91,2.73,12.7,25.5,15.5,39.1,0,0.91,0,0.91,0,20,90.9,71.8,5.45,0.91,1.82,10,0,41.8,24.5,58.7,10,0,0,0,2.73,2.73,0.91,3.64,0.91,0.91,0,0,6.36,2.73,2.73,50
7,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,12,11,945,10.5,0.29,2.57,0.95,37,0.11,0.3,16.9,0,0,0,17.5,25.5,68.7,228.7,56.5,12.7,15.5,81.6,3.9,6.19,63.1,0.48,1.24,38.5,0.29,0.67,0.67,0.48,0.1,1.43,25.5,24.9,0.67,0,0,3.9,0.1,1.81,0,0,0,0,19.6,3.43,2.48,16.2,7.52,0.67,0.67,0.1,17.5,0.1,0.95,1.52,1.62,2,1.14,0.1,0.1,0.1,0.48,0.1,0.29,0.29,0,0,0,0,0,1.33,0.86,0.57,0.29,0.48,0.38,1.71,22.2,1.33,13.3,3.24,24.3,2.95,4.57,5.81,0.67,0.1,0,0.57,1.05,2.38,0.57,0,40,0.95,5.9,14.3,22.2,6.38,39.3,1.24,3.43,36.1,1.52,0.29,30.3,151.7,84.3,5.52,0.95,1.81,2.95,1.62,42.2,29.7,70.4,8.48,0.19,0,0,1.43,1.62,0.57,1.81,0.86,0,0,0,4.57,0.76,1.33,36.4
8,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,11,9,768,8.5,0.24,3.29,1.29,39.3,0.07,0.18,11.8,0,0,0,13.3,18.5,72,213.3,50.7,7.06,8.94,78.9,4.82,6.71,71.9,1.06,1.41,75,0.12,1.18,1.29,0.47,0.12,1.76,18.5,16.7,1.76,0,0.35,6,0.24,0.24,0,0,0,0,9.76,4.47,4.24,1.41,11.1,2,0.12,1.29,13.3,0.12,0.47,0.59,0.71,3.29,1.76,0,0.24,0.94,0.35,0,0.47,0.12,0,0,0.24,0.12,0,0.59,0.24,0.24,0.12,0.24,0,0.47,0,0.47,9.88,1.76,17.9,0.82,3.53,5.53,1.06,0.47,0,0.59,0.35,0.94,0.71,0,33.5,0.82,2.59,17.5,14.6,6.12,31.8,0.59,2.12,27.8,0.94,0.35,16.4,68.8,39.6,2.12,0.35,0.82,3.53,1.88,44.2,24.8,56.1,6.82,0,0,0,1.18,2.35,0.47,0.24,0.24,0.12,0,0,3.41,3.53,2.94,54.5
9,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,5,5,438,4.9,0,0.2,0,0,0,0,9,0,0,0,59.8,67.1,89.1,1257.3,309.8,18.2,19.4,93.7,32.4,34.9,93,8.78,12.2,71.7,0,0.2,2.45,0.2,0,2.86,67.1,63.9,3.27,1.84,0,7.14,2.24,0,0,0,0,0,51.6,3.47,12,51,10.6,2.04,0.61,0.2,59.8,0,1.22,0.41,0.2,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0.61,1.02,0,0,0.2,0.2,100,0,4.08,1.22,30,1.84,2.04,0.2,1.22,0.41,0,0.82,0.61,1.63,4.29,0,74.9,11.6,40.8,36.3,2.86,0.41,71.6,0,0,0,0,0,50.2,283.7,135.7,3.27,0.82,0,0.2,0,55.5,53.9,97.1,0.2,0.2,0,0,0.82,0.41,0,0,0.61,0,0,0,9.8,4.08,1.02,80
10,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,2002,2,0,36,0.4,0,2.5,0,0,0,0,25,0,0,0,47.5,55,86.4,767.5,260,22.5,22.5,100,22.5,27.5,81.8,2.5,5,50,0,2.5,2.5,0,0,5,55,52.5,2.5,0,0,2.5,0,0,2.5,0,2.5,0,47.5,2.5,5,47.5,7.5,0,0,0,47.5,0,0,2.5,0,5,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,0,0,2.5,2.5,100,0,20,5,25,2.5,10,7.5,0,0,0,0,5,7.5,0,0,65,0,15,32.5,27.5,0,62.5,7.5,7.5,100,7.5,0,62.5,295,202.5,7.5,2.5,0,0,5,55,50,90.9,2.5,0,0,0,5,0,0,0,2.5,0,0,0,5,0,0,0
